Voltage
241,97
241,75
241,64
241,71
241,98
241,83
241,07
241,29
241,23
242,18
242,46
242,88
242,57
242,41
241,81
241,73
241,29
241,11
240,59
240,83
240,9
241,15
241,55
241,67
242,45
241,6
241,14
241,38
240,9
241,15
241,32
241,35
241,38
242,03
241,86
241,47
240,96
240,94
240,31
240,46
240,5
240,08
240,5
240,65
240,68
240,69
240,3
240,85
240,98
241,4
242,11
242,12
241,96
241,98
241,84
240,63
240,81
240,82
241,39
241,09
241,09
241,79
242,04
241,43
241,05
240,98
240,91
240,58
241,19
240,99
241,12
241,95
241,73
241,24
241,49
242
241,94
241,79
242
242,37
242,3
243,15
242,8
242,53
242,8
242,82
242,73
241,47
241,52
240,56
240,11
240,03
240,3
240,37
240,34
239,95
239,91
240,89
240,01
239,63
240
240,04
240,36
239,96
239,83
240,42
240,71
240,74
240,66
240,6
240,8
240,56
240,89
241,03
241,77
241,46
241,28
240,93
240,24
239,61
239,26
241,07
242,48
242,42
242,95
243,38
243,17
242,89
242,94
243,57
243,28
243,91
243,76
243,81
243,57
243,32
242,76
243,66
243,64
243,72
244,15
244,6
244,5
244,22
243,88
242,97
243,07
242,45
242,84
243,33
243,63
243,79
243,81
244
244,5
244,99
244,47
242,98
242,78
242,86
242,49
242,6
242,96
242,85
242,46
242,87
243,73
243,71
243,2
242,69
243,02
243,29
243,1
243,15
243,15
243,11
243,46
242,82
242,23
241,74
241,63
242,65
242,96
242,97
243,18
242,91
243,29
243,28
242,8
242,81
242,72
243,34
243,87
244,02
243,85
243,2
242,76
242,82
243,04
242,39
243
243,66
244,16
244,56
244,86
245,07
244,39
244,06
244,01
243,43
243,08
243,12
242,36
242,17
242,55
242,57
242,78
242,89
243
243,07
243,43
243,66
243,25
243,39
243,8
243,29
243,18
243,63
243,77
243,18
243,66
243,61
243,44
243,18
243,18
243,21
243,49
243,19
242,99
242,13
241,96
241,47
241,91
241,91
242,2
242,38
241,96
242
241,31
242,23
242,68
242,99
241,8
241,82
241,89
241,44
241,57
241,15
241,67
241,78
241,53
241,34
241,79
241,48
242,25
241,76
241,83
240,61
240,97
242
242,56
243,02
242,87
243,13
242,87
242,76
243,04
243,24
243,5
243,81
243,83
243,59
243,21
244,19
243,81
243,09
242,9
242,73
243,21
242,48
242,25
242,51
242,99
242,83
242,71
242,72
242,89
243,2
243,69
244,06
243,85
243,71
243,68
244,13
244,16
242,9
243,39
243,03
243,27
243,39
243,37
244,06
244,26
244,17
244,12
243,18
242,67
241,97
242,02
241,85
242,81
242,38
242,17
242,06
241,6
241,57
241,64
242,02
242,37
242,4
242,28
242,68
242,32
242,96
242,86
241,98
241,66
241,38
240,61
240,82
241,41
241,51
241,73
242,75
242,3
241,91
241,82
241,7
241,88
243,07
243,11
242,78
241,9
241,47
240,89
240,41
240,41
239,97
240,84
241,31
241,13
241,26
241,14
240,98
240,68
240,25
240,22
240,36
240,63
240,65
240,67
240,9
240,8
240,65
240,53
240,24
240,48
240,52
241,32
242,29
241,99
241,85
241,69
241,24
241,41
240,52
240,93
241,08
241,33
241,31
241,87
241,98
242,15
241,82
242,03
242,18
241,29
241,05
240,22
240,17
240,83
241,19
241,68
242,04
242,48
242,08
241,67
240,64
240,24
240,07
240,44
240,76
242,16
242,55
242,21
241,54
241,54
241,65
241,73
242
242,03
241,4
241,3
241,11
240,74
240,18
240,09
240,58
239,82
239,99
240,38
240,06
239,8
240,19
240,71
240,78
240,69
240,86
240,53
240,12
240,03
240,42
240,71
240,87
240,66
240,84
240,07
239,26
239,06
239,1
239,22
239,89
239,95
239,95
239,88
239,59
239,99
240,1
240,01
240,07
240,53
240,88
241,44
240,25
240,27
240,07
240,51
240,04
239,66
240,62
240,52
240,9
240,8
240,74
240,06
240,24
240,23
240,3
239,74
240,02
240,44
240,27
240,6
241,13
240,56
240,45
240,67
240,69
241,02
240,55
241,04
240,7
240,82
240,7
240,89
241,33
240,72
240,49
240,59
240,27
240,05
240,17
240,78
241,75
241,7
241,97
242,13
241,51
242,08
242,19
241,12
240,55
240,84
240,83
241,44
241,35
241,8
242
241,53
240,96
240,7
240,89
241,25
241,53
241,55
241,62
241,42
241,42
241,75
241,91
242,13
241,87
241,06
241,24
241,27
240,93
241,19
241,41
241,38
241,39
240,98
240,47
240,37
240,04
240,15
240,06
240,22
239,76
239,23
238,8
239,3
239,93
239,98
239,95
240
239,72
238,89
239,39
240,03
238,52
238,12
238,41
238,19
238,6
238,07
238,51
239,11
240,2
240,27
239,72
239,95
239,74
239,73
240,19
240,37
240,25
240,73
240,79
240,28
240,54
240,64
241,24
240,87
240,74
240,96
240,02
239,92
240,14
239,72
240,34
240,97
240,73
240,25
239,76
239,41
238,97
238,85
237,98
238,49
239,17
239,62
239,48
239,71
239,64
239,24
238,79
239,09
238,95
239,33
239,83
239,74
239,52
237,92
239,03
238,31
238,22
238,16
237,97
237,27
237,2
237,42
237,71
238
238,52
239,4
239,29
239,2
238,1
237,94
237,39
237,56
238,83
238,63
238,51
239,22
239,46
238,85
238,63
